facility_code,exposure_month,landsat,modis,era5,landsat-7, persiann
2202,1/12/2020 00:00,30.72732224,32.25,26.03832654,35.72104946,0.014647714
2202,1/1/2021 00:00,40.6840145,33.375,25.77344428,32.09111222,0.008544583
2202,1/2/2021 00:00,34.80160208,34.015,26.61178167,NaN,0.023939379
2202,1/3/2021 00:00,44.18064896,38.485,27.27661858,33.09088307,0.009523577
2202,1/4/2021 00:00,44.56517621,43.09,28.3441959,39.54410483,0.004685698
2202,1/5/2021 00:00,44.6660078,38.175,28.01795811,14.71731656,0.031710708
2202,1/6/2021 00:00,49.71100532,35.775,29.16184054,38.1375896,5.01995413
2202,1/7/2021 00:00,36.76012754,31.95666667,28.52058768,NaN,11.48852259
2202,1/8/2021 00:00,29.39771246,30.94,26.75457674,NaN,29.55522499
2202,1/9/2021 00:00,35.6082548,28.65,27.44249261,30.00612002,18.09825871
2202,1/10/2021 00:00,37.79407859,30.9,28.30056308,25.79511938,5.389105894
2202,1/11/2021 00:00,35.78257382,32.035,28.54495646,33.8821547,0.192647424
2202,1/12/2021 00:00,35.96543789,30.615,26.95806521,NaN,0.130326093
2202,1/1/2022 00:00,41.17108235,31.99,26.73030214,27.83909534,0.01243185
2202,1/2/2022 00:00,40.0516808,33.08,26.42359714,29.84205506,0.024419551
2202,1/3/2022 00:00,37.73426324,36.545,26.79984262,33.81721232,0.053260307
2203,1/11/2018 00:00,40.71477668,37.08,28.50041798,42.05464052,0.38396668
2203,1/12/2018 00:00,37.9325084,36.49,26.2515868,40.427663,0.023461605
2203,1/1/2019 00:00,40.30461428,37.255,25.11274989,29.88990734,0.011235194
2203,1/2/2019 00:00,39.99186545,37.28,26.86245426,34.82381921,0.085274654
2203,1/3/2019 00:00,47.12527319,41.55,27.18892184,45.11376842,0.101431383
2203,1/4/2019 00:00,48.14555216,45.65666667,30.2663997,49.71784136,0.10279193
2203,1/5/2019 00:00,50.32966694,44.61,29.05786989,46.86892169,0.010012523
2203,1/6/2019 00:00,43.30221782,43.24,29.05201825,46.59377108,3.022112859
2203,1/7/2019 00:00,47.37991568,NaN,28.53675129,42.57076154,10.17165575
2203,1/8/2019 00:00,35.22885458,NaN,26.88058756,37.30359272,24.82108841
2203,1/9/2019 00:00,39.05190995,29.115,27.17029722,28.22874962,19.6265328
2203,1/10/2019 00:00,39.32364254,30.73666667,27.8135227,NaN,6.399117867
2203,1/11/2019 00:00,42.14009102,38.41,29.05533831,43.13473484,0.355070069
2203,1/12/2019 00:00,39.68937068,37.815,26.60565711,35.03060942,0.049692396
2203,1/1/2020 00:00,43.08004652,33.13,25.92501738,17.18854502,0.011751719
2203,1/2/2020 00:00,45.70508588,39.79,29.31814842,NaN,0.032507559
2203,1/3/2020 00:00,51.60800642,43.785,29.70816287,43.42184852,0.030062828
2203,1/4/2020 00:00,49.97590187,44.625,31.35367781,47.38162469,0.046225997
2203,1/5/2020 00:00,49.87677929,43.80333333,29.88602586,45.04540802,0.182550536
2203,1/6/2020 00:00,NaN,36.51,30.27900238,NaN,4.79219426
2203,1/7/2020 00:00,NaN,NaN,27.36341104,NaN,18.26250493
2203,1/8/2020 00:00,33.08917406,28.35,26.69346781,30.31545083,13.11179202
2203,1/9/2020 00:00,32.23296005,27.75666667,26.57265572,NaN,32.95606322
2203,1/10/2020 00:00,19.13168939,34.59,27.97561068,40.32854042,4.810707764
2203,1/11/2020 00:00,39.72867791,38.31,27.35596769,41.28558602,0.211262009
2203,1/12/2020 00:00,43.81492082,37.98,26.65609683,36.26109662,0.009882963
2203,1/1/2021 00:00,40.96087412,38.11,26.47441664,34.00007639,0.00750339
2203,1/2/2021 00:00,39.86539871,37.245,27.38820117,31.63309754,0.023898864
2203,1/3/2021 00:00,53.35803266,41.26,28.11273459,35.97227393,0.014237068
2203,1/4/2021 00:00,36.27305969,46.49666667,29.51916334,43.47311882,0.006429023
2203,1/5/2021 00:00,47.94047096,41.07,29.36007263,NaN,0.058544012
2203,1/6/2021 00:00,46.70998376,38.49,30.1190861,40.44988013,5.251946071
2203,1/7/2021 00:00,35.29892399,33.51,28.94436068,34.05134669,13.99205037
2203,1/8/2021 00:00,NaN,31.13,26.77084491,NaN,27.53656984
2203,1/9/2021 00:00,36.81481586,30.085,27.44824619,NaN,19.39319113
2203,1/10/2021 00:00,38.11708148,34.93,28.41907367,21.11243198,7.427017686
2203,1/11/2021 00:00,31.78861745,39.67,28.89690687,35.5057142,0.209460669
2203,1/12/2021 00:00,38.91006212,37.925,27.62440898,NaN,0.111986325
2203,1/1/2022 00:00,42.37251638,37.57,27.59022055,30.10866062,0.010839469
2203,1/2/2022 00:00,42.07514864,37.26,27.36494816,30.42311846,0.010784726
2203,1/3/2022 00:00,43.75168745,40.385,27.99756502,35.75864768,0.029030825
