facility_code,exposure_month,landsat,modis,era5,trmm,persiann,landsat-7
2541,2018_11,NaN,33.76333333333336,27.584495756361246,0.04771155118942261,7.772623121738434,33.111391190000035
2541,2018_12,37.853893940000034,32.19666666666668,28.546576292796825,0.09102100133895874,5.708913183020007,NaN
2541,2019_01,NaN,35.13000000000003,29.50455022422218,0.014270883053541183,0.592062117591981,NaN
2541,2019_02,40.40373685999998,36.25666666666668,30.567799527304537,0.02325659804046154,1.2644157345805849,35.78257382000001
2541,2019_03,36.502067030000035,39.90000000000002,31.78846536451773,0.008678732439875603,0.8451298359901674,NaN
2541,2019_04,13.391124800000057,43.55000000000001,29.511422602335635,0.004577156156301498,1.0286246985197067,33.89240876000002
2541,2019_05,36.08335957999998,28.83000000000004,25.01017788712699,0.5267120003700256,36.82350848951647,31.199009000000046
2541,2019_06,30.183857060000037,28.715000000000018,25.137663163079175,0.0069696069695055485,1.4814567565917969,33.61896716000001
2541,2019_07,32.54741789000002,29.356666666666683,25.099212675197172,0.01781330443918705,0.7261897671607233,NaN
2541,2019_08,NaN,30.630000000000052,25.462795552899788,0.030160514637827873,1.3850533769976707,NaN
2541,2019_09,NaN,30.807142857142885,25.95815126630997,0.10498517006635666,0.0,NaN
2541,2019_10,NaN,28.06000000000003,25.568477310672918,0.4760127365589142,18.544512198817344,NaN
2541,2019_11,38.869045880000044,NaN,26.5760984208849,0.26058444380760193,12.046720286210379,36.24400652000003
2541,2019_12,NaN,29.51666666666669,27.39067706036314,0.2112693339586258,17.18735279575471,35.22885458000002
2541,2020_01,36.30211286000002,30.190000000000055,28.552648408951324,NaN,3.225821631570016,18.59676926000003
2541,2020_02,19.338479600000028,31.950000000000028,29.475476398687274,NaN,1.1728459134184082,NaN
2541,2020_03,NaN,33.814000000000036,28.935274070821812,NaN,7.698734969862046,NaN
2541,2020_04,37.313846780000006,28.130000000000052,26.605474980672223,NaN,30.466594176987808,NaN
2541,2020_05,30.01637407999999,27.870000000000033,24.837430490473277,NaN,17.446526000576636,NaN
2541,2020_06,34.28548106000005,27.786000000000037,24.473477660285123,NaN,9.000916878382364,25.439645300000052
2541,2020_07,NaN,27.430000000000025,24.31356635965329,NaN,3.2005786511205856,22.329247100000032
2541,2020_08,NaN,31.750000000000057,24.755059014597272,NaN,0.9636578252238612,28.818358070000045
