neighborhood_code,exposure_month,landsat,modis,era5,trmm,persiann,landsat-7
254001,2018_11,30.18511489136,35.33309629629634,27.584495756361246,0.04771155118942261,7.772623121738434,28.20283794583557
254001,2018_12,35.72131530600002,31.82641481481484,28.546576292796825,0.09102100133895874,5.708913183020007,NaN
254001,2019_01,33.05422480549999,34.37674285714288,29.50455022422218,0.014270883053541183,0.592062117591981,NaN
254001,2019_02,39.27325332960004,35.63420000000003,30.567799527304537,0.02325659804046154,1.2644157345805849,32.74674922080002
254001,2019_03,35.604305088000004,39.82258888888892,31.78846536451773,0.008678732439875603,0.8451298359901674,NaN
254001,2019_04,20.83752442920001,38.16211111111113,29.511422602335635,0.004577156156301498,1.0286246985197067,33.09222942535811
254001,2019_05,33.9040983884,28.836533333333367,25.01017788712699,0.5267120003700256,36.82350848951647,25.919544802500013
254001,2019_06,33.2119797208,27.898311111111145,25.137663163079175,0.0069696069695055485,1.4814567565917969,31.69845008240002
254001,2019_07,30.004874341599994,29.403337037037073,25.099212675197172,0.01781330443918705,0.7261897671607233,29.40368260160004
254001,2019_08,NaN,30.6628666666667,25.462795552899788,0.030160514637827873,1.3850533769976707,19.94552931643837
254001,2019_09,28.721506574400046,29.556302222222246,25.95815126630997,0.10498517006635666,0.0,27.732113871122223
254001,2019_10,NaN,28.03140000000002,25.568477310672918,0.4760127365589142,18.544512198817344,38.18115036600004
254001,2019_11,35.37537370400002,29.74031111111114,26.5760984208849,0.26058444380760193,12.046720286210379,29.97129039620003
254001,2019_12,NaN,29.485703703703724,27.39067706036314,0.2112693339586258,17.18735279575471,28.752808042000023
254001,2020_01,32.24249252800002,28.338800000000028,28.552648408951324,NaN,3.225821631570016,10.959127614000025
254001,2020_02,NaN,30.89842222222223,29.475476398687274,NaN,1.1728459134184082,NaN
254001,2020_03,NaN,33.05568000000004,28.935274070821812,NaN,7.698734969862046,NaN
254001,2020_04,35.3316762172,28.490755555555555,26.605474980672223,NaN,30.466594176987808,NaN
254001,2020_05,29.541968095200012,27.916081481481513,24.837430490473277,NaN,17.446526000576636,28.353444053333344
254001,2020_06,33.00350328760002,27.66700888888891,24.473477660285123,NaN,9.000916878382364,23.009884838254358
254001,2020_07,17.018936198292703,27.366308888888913,24.31356635965329,NaN,3.2005786511205856,NaN
254001,2020_08,35.0412280688,30.807844444444484,24.755059014597272,NaN,0.9636578252238612,28.517181136600016
254001,2020_09,31.89211033417909,31.690000000000037,25.960687107510065,NaN,0.6014999548594157,26.532124245800006
254001,2020_10,36.78678050040001,35.3766577777778,27.594397440264324,NaN,1.9753230771710795,NaN
254001,2020_11,29.203215058400012,33.40348888888892,27.413817765977672,NaN,17.32492435971896,26.401501446666725
254001,2020_12,NaN,32.629973333333346,29.123390370030585,NaN,5.759946800047351,30.561115320799985
254001,2021_01,NaN,36.76677037037039,29.48916399145642,NaN,2.5297636562778103,25.381538960000057
254001,2021_02,NaN,39.43528888888891,30.700737549009794,NaN,2.0228260343096087,NaN
254001,2021_03,36.54884833040005,38.991751111111135,31.246208650322394,NaN,1.0353005509222708,NaN
254001,2021_04,NaN,39.82604444444447,27.744300927056234,NaN,4.098200246691704,32.76311566727276
254001,2021_05,34.37969878130003,31.60991111111114,26.79126834664295,NaN,5.157203037411936,29.833623944000035
254001,2021_06,NaN,30.08737037037038,25.335596911112482,NaN,1.065000057220459,NaN
254001,2021_07,27.58023461119999,27.357525925925955,24.978259556267872,NaN,2.210133989651998,26.785033212727274
254001,2021_08,29.828929863200052,30.671844444444467,25.954628204017574,NaN,0.0,25.376981600000004
254001,2021_09,36.29226896240003,35.244592592592625,26.61773781246611,NaN,0.0,NaN
254001,2021_10,35.21981581600001,37.08535555555559,28.58196973082842,NaN,0.3644023787590765,39.55688822480002
254001,2021_11,36.0970582446,41.01971111111114,30.313473129272484,NaN,2.7322215835253396,27.29904818
254001,2021_12,35.37179617640001,31.1110888888889,28.404443092756395,NaN,8.997624372282337,33.295599681200024
254001,2022_01,NaN,35.82759153439155,30.318584163214595,NaN,1.3446276947375266,23.176916060000053
254001,2022_02,NaN,38.778133333333386,31.381798862275648,NaN,2.3272108632539,33.193871810400026
254001,2022_03,38.4385804412,43.50426666666668,31.245302741758312,NaN,0.6503753508290937,37.020231266400025
254001,2022_04,15.265527294553591,35.650000000000034,28.81870064205595,NaN,6.717082875470321,NaN
254001,2022_05,36.33490306520002,31.00703333333336,26.468950813047364,NaN,18.012430744786418,NaN
254001,2022_06,NaN,27.508385185185215,24.619854397243945,NaN,1.6714999675750732,NaN
254001,2022_07,31.232611934399994,25.859777777777822,23.787541695051313,NaN,0.0,18.74672919080002
254001,2022_08,33.334519535600045,29.968657777777807,24.799292070122192,NaN,0.5308064337699644,NaN
254001,2022_09,35.71004510292687,33.009011111111136,26.266420576307528,NaN,0.6384999752044678,30.113666810909113
254001,2022_10,26.409950986517877,31.870000000000005,27.680668685256812,NaN,0.5099977216412944,26.809405421600022
254001,2022_11,34.61705938240003,NaN,28.387420315212687,NaN,8.64878753821055,26.420085348000026
254001,2022_12,27.467085433513546,33.438377777777816,29.64481360732871,NaN,8.59878663093813,30.82589034120004
254001,2023_01,36.75133183520001,33.25931555555559,29.691546991820008,NaN,1.8365890412561354,NaN
254001,2023_02,45.9019562364,34.861066666666694,30.822309884570902,NaN,0.0,NaN
254001,2023_03,48.567692821200005,37.85173333333337,30.432937548237472,NaN,4.901640126782079,32.24965138100003
254001,2023_04,33.046950119600034,34.77000000000004,27.83793188730878,NaN,23.93955835700035,NaN
