neighborhood_code,exposure_month,landsat,modis,era5,landsat-7, persiann
4,1/10/2020 00:00,23.80161617,33.56561859,27.97561068,33.17455832,4.810707764
4,1/11/2020 00:00,40.40973503,38.62953175,27.35596769,41.59515026,0.211262009
4,1/12/2020 00:00,44.9270748,38.24235685,26.65609683,38.64172334,0.009882963
4,1/1/2021 00:00,41.91961836,37.98860281,26.47441664,36.32342688,0.00750339
4,1/2/2021 00:00,40.54221226,38.16531758,27.38820117,31.80821032,0.023898864
4,1/3/2021 00:00,55.12237933,41.19629061,28.11273459,37.25424545,0.014237068
4,1/4/2021 00:00,38.45275842,46.34566172,29.51916334,44.83178083,0.006429023
4,1/5/2021 00:00,46.24720964,39.98302824,29.36007263,19.90551289,0.058544012
4,1/6/2021 00:00,49.44493338,36.64298614,30.1190861,42.48324706,5.251946071
4,1/7/2021 00:00,35.94843852,33.80168566,28.94436068,33.01002101,13.99205037
4,1/8/2021 00:00,17.1500262,31.44131064,26.77084491,8.449925123,27.53656984
4,1/9/2021 00:00,32.09036157,30.46786082,27.44824619,23.79716579,19.39319113
4,1/10/2021 00:00,42.52781252,34.25106245,28.41907367,NaN,7.427017686
4,1/11/2021 00:00,40.49748762,39.28141519,28.89690687,32.36795046,0.209460669
4,1/12/2021 00:00,35.51362533,37.85965607,27.62440898,NaN,0.111986325
4,1/1/2022 00:00,44.05905811,37.46184532,27.59022055,30.97975822,0.010839469
4,1/2/2022 00:00,43.20649146,37.37613712,27.36494816,32.39446741,0.010784726
4,1/3/2022 00:00,45.35210798,40.49292619,27.99756502,37.8461116,0.029030825
5,1/11/2018 00:00,36.99741425,30.24664129,27.95748179,35.976159,0.604611615
5,1/12/2018 00:00,36.01969984,31.12313955,25.87828003,36.89807642,0.023928801
5,1/1/2019 00:00,33.74169304,31.48505132,24.93663524,24.05120616,0.013862226
5,1/2/2019 00:00,39.11350354,32.99080799,26.66847291,38.44068489,0.08026453
5,1/3/2019 00:00,43.01303482,35.81386908,26.98393298,44.13283695,0.156580079
5,1/4/2019 00:00,44.98858318,38.31803819,29.8116471,49.31196261,0.128435516
5,1/5/2019 00:00,45.96424332,37.71738439,28.56115135,45.75365462,0.089330572
5,1/6/2019 00:00,42.51367603,38.19889858,28.6997179,48.59212844,3.719265128
5,1/7/2019 00:00,48.01744247,33.75918086,28.27132318,40.89704582,11.49238816
5,1/8/2019 00:00,37.70591307,32.80433852,26.7324992,35.8346057,22.60581499
5,1/9/2019 00:00,33.73480892,28.79559553,27.06142406,NaN,17.80662134
5,1/10/2019 00:00,36.60030571,29.19486746,27.57911619,1.414113609,6.481631961
5,1/11/2019 00:00,38.25838739,31.5658184,28.57366513,38.01430768,0.445965801
5,1/12/2019 00:00,36.72422251,30.81539065,26.05541402,31.91871638,0.062217374
5,1/1/2020 00:00,40.81914208,28.52554132,25.59550104,20.38293769,0.019089819
5,1/2/2020 00:00,44.6850718,35.19788825,28.87681513,39.0532245,0.029052874
5,1/3/2020 00:00,49.16635542,37.82188388,29.38640915,42.58168536,0.021422104
5,1/4/2020 00:00,48.31562342,38.99678806,30.92667315,47.11954458,0.040572191
5,1/5/2020 00:00,48.82083758,36.1746041,29.53062274,43.58087441,0.245730446
5,1/6/2020 00:00,NaN,30.29485262,29.96927473,29.30417724,5.562947743
